  Start = Start of vowel nucleus
    End = End of vowel nucleus
Center1 = Steady-state time from judge 1
Center2 = Steady-state time from judge 2

File   Start    End   Center1  Center2
g02ae  145.0   428.0   202.0    205.0
g04ae  180.0   565.0   302.0    291.0
g05ae  108.0   564.0   239.0    266.0
g06ae  120.0   412.0   203.0    198.0
g07ae  144.0   485.0   193.0    245.0
g08ae  218.0   602.0   288.0    304.0
g09ae  125.0   507.0   280.0    281.0
g10ae  137.0   448.0   195.0    194.0
g11ae  132.0   485.0   195.0    226.0
g12ae   88.0   410.0   160.0    176.0
g13ae  172.0   473.0   243.0    272.0
g14ae  150.0   456.0   207.0    219.0
g15ae  144.0   498.0   204.0    251.0
g17ae   83.0   391.0   128.0    144.0
g18ae  149.0   466.0   198.0    182.4
g19ae  111.0   349.0   145.0    135.4
g20ae   88.0   378.0   122.9    136.3
g21ae  194.0   444.0   230.4    216.0
m01ah  204.0   520.2   254.0    268.0
m02ah  136.0   385.0   172.0    218.0
m03ah  100.0   473.0   220.0    185.0
m04ah   98.0   400.0   214.0    168.0
m06ah   82.0   312.0   145.0    187.0
m07ah   86.0   351.0   129.0    128.0
m08ah  107.0   409.0   159.0    162.0
m09ah  132.0   462.0   216.0    231.0
m10ah   97.0   368.0   152.0    161.0
m11ah  110.0   431.0   229.0    190.0
m13ah   73.0   329.0   182.0    152.0
m14ah  109.0   387.0   165.0    204.0
m16ah   84.0   276.0   118.0    126.0
m17ah  197.0   440.0   288.0    277.0
m18ah  117.0   459.0   154.0    179.0
m19ah  141.0   410.0   267.0    236.0
m20ah   82.0   354.0   144.0    168.0
m21ah  143.0   349.0   176.0    174.0
m22ah  167.0   454.0   273.0    240.0
m23ah  112.0   390.0   175.0    198.0
m24ah  108.0   366.0   151.0    172.0
m25ah   92.0   348.0   216.0    188.0
m26ah   53.0   324.0   137.0    185.0
m27ah   94.0   306.0   124.0    137.0
m28ah  154.0   308.0   178.0    186.0
m29ah  113.0   333.0   182.0    203.0
m30ah   92.0   382.0   163.0    174.0
m31ah  143.0   327.0   158.0    160.0
m32ah   86.0   302.0   110.0    110.0
m33ah   73.0   345.0   158.0    158.0
m34ah  114.0   364.0   179.0    164.0
m35ah   93.0   362.0   145.0    152.0
m36ah   96.0   348.0   138.0    163.0
m37ah   60.0   279.0    93.0     91.0
m38ah   82.0   274.0   130.0    146.0
m39ah   85.0   372.0   204.0    232.0
m40ah  109.0   363.0   169.0    163.0
m41ah   78.0   291.0   128.0    144.0
m42ah  114.0   406.0   177.0    179.0
m44ah  113.0   399.0   215.0    167.0
m45ah   92.0   377.0    99.0    142.0
m47ah  115.0   416.0   141.0    164.0
m48ah   92.0   299.0   128.0    177.0
m49ah   62.0   332.0   103.0    117.0
m50ah   95.0   345.0   136.0    122.0
w01ah   97.0   362.0   120.0    129.0
w02ah  132.0   575.0   268.0    279.0
w03ah   88.0   345.0   131.0    138.0
w04ah  110.0   460.0   251.0    249.0
w05ah  126.0   491.0   178.0    189.0
w06ah   95.0   424.0   195.0    187.0
w07ah  120.0   426.0   264.0    242.0
w08ah   98.0   415.0   191.0    220.0
w09ah   67.0   349.0   123.0    110.0
w10ah  103.0   470.0   225.0    195.0
w11ah  120.0   500.0   264.0    261.0
w12ah  169.0   512.0   324.0    202.0
w13ah  124.0   453.0   199.0    237.0
w14ah  120.0   395.0   170.0    180.0
w15ah  156.0   496.0   276.0    314.0
w16ah  147.0   452.0   272.0    229.0
w17ah  103.0   370.0   155.0    168.0
w19ah  129.0   445.0   285.0    267.0
w20ah  138.0   503.0   230.0    265.0
w21ah  114.0   516.0   288.0    312.0
w22ah  189.0   539.0   333.0    343.0
w23ah  128.0   457.0   232.0    248.0
w24ah  127.0   430.0   220.0    206.0
w25ah  151.0   581.0   276.0    249.0
w26ah  133.0   466.0   272.0    288.0
w27ah   96.0   380.0   144.0    160.0
w28ah   75.0   292.0   123.0    142.0
w29ah  102.0   405.0   120.0    136.0
w30ah  120.0   413.0   150.0    184.0
w31ah  108.0   423.0   240.0    246.0
w32ah  179.0   419.0   248.0    264.0
w33ah  122.0   405.0   164.0    201.0
w34ah  116.0   363.0   178.0    217.0
w35ah  156.0   466.0   233.0    260.0
w36ah  149.0   604.0   185.0    228.0
w37ah  189.0   608.0   348.0    335.0
w38ah  109.0   445.0   200.0    216.0
w39ah  204.0   542.0   312.0    287.0
w40ah  144.0   441.0   206.0    257.0
w41ah  145.0   443.0   245.0    176.0
w42ah  125.0   393.0   225.0    247.0
w44ah  120.0   460.0   174.0    178.0
w45ah  101.0   413.0   199.0    203.0
w46ah  100.0   434.0   115.0    144.0
w47ah  149.0   451.0   299.0    300.0
w48ah  133.0   479.0   306.0    226.0
w49ah  151.0   477.0   201.0    252.0
w50ah  112.0   469.0   193.0    162.0
b01ah   88.0   300.0   143.0    144.0
b02ah  151.0   479.0   243.0    310.0
b03ah  132.0   430.0   211.0    206.0
b04ah  137.0   494.0   228.0    232.0
b05ah   63.0   333.0    90.0     88.0
b07ah  101.0   395.0   263.0    248.0
b08ah  176.0   516.0   232.0    244.0
b09ah  148.0   433.0   187.0    195.0
b10ah  181.0   594.0   294.0    260.0
b11ah  116.0   398.0   163.0    186.0
b12ah  108.0   533.0   268.0    212.0
b13ah  135.0   408.0   201.0    214.0
b14ah  104.0   367.0   181.0    175.0
b15ah   97.0   437.0   360.0    302.0
b16ah  117.0   481.0   242.0    225.0
b17ah   72.0   399.0   116.0    175.0
b18ah  116.0   397.0   203.0    204.0
b19ah  100.0   392.0   182.0    188.0
b21ah  147.0   510.0   243.0    268.0
b22ah   99.0   449.0   135.0    147.8
b23ah  133.0   425.0   186.0    182.4
b24ah  119.0   357.0   164.0    144.0
b25ah  155.0   450.0   224.0    217.0
b26ah   83.0   397.0   191.0    144.0
b27ah  102.0   372.0   142.0    121.0
b28ah  135.0   406.0   220.0    175.7
b29ah  131.0   416.0   179.0    164.2
g01ah  114.0   390.0   174.0    200.0
g02ah  106.0   404.0   153.0    164.0
g04ah  197.0   521.0   377.0    335.0
g05ah  129.0   504.0   312.0    294.0
g06ah  142.0   417.0   223.0    206.0
g07ah  158.0   542.0   264.0    280.0
g08ah  181.0   588.0   273.0    306.0
g09ah  110.0   431.0   153.0    162.0
g10ah  109.0   391.0   168.0    176.0
g11ah  107.0   405.0   163.0    194.0
g12ah  127.0   444.0   271.0    286.0
g13ah  160.0   494.0   331.0    289.0
g14ah   98.0   406.0   222.0    204.0
g15ah  108.0   407.0   192.0    205.0
g17ah  108.0   412.0   192.0    176.8
g18ah  128.0   544.0   163.0    169.0
g19ah  114.0   334.0   145.0    145.9
g20ah  117.0   376.0   229.4    176.0
g21ah  108.0   294.0   149.8    184.3
m01aw  210.1   540.4   291.0    289.0
m02aw   99.0   388.0   166.0    184.0
m03aw  153.0   508.0   198.0    232.0
m04aw  124.0   471.0   206.0    227.0
m06aw   73.0   323.0   169.0    150.0
m07aw  109.0   401.0   163.0    172.0
m08aw   81.0   375.0   109.0    108.0
m09aw  166.0   508.0   241.0    220.0
m10aw  176.0   472.0   288.0    328.0
m11aw  143.0   506.0   239.0    231.0
m13aw  107.0   390.0   220.0    240.0
m14aw   88.0   336.0   162.0    143.0
m16aw   68.0   291.0   124.0    120.0
m17aw  116.0   394.0   179.0    181.0
m18aw  129.0   449.0   225.0    222.0
m19aw  114.0   388.0   142.0    158.0
m20aw   75.0   362.0   125.0    137.0
m21aw   98.0   351.0   161.0    170.0
m22aw  136.0   452.0   173.0    230.0
m23aw  134.0   426.0   253.0    251.0
m24aw  134.0   382.0   186.0    180.0
m25aw  120.0   369.0   169.0    202.0
m26aw  107.0   389.0   187.0    193.0
m27aw   96.0   267.0   168.0    156.0
m28aw  117.0   339.0   135.0    154.0
m29aw  103.0   329.0   161.0    179.0
m30aw  107.0   451.0   160.0    180.0
m31aw  126.0   322.0   168.0    171.0
m32aw   95.0   290.0   176.0    107.0
m33aw   89.0   357.0   136.0    135.0
m34aw  120.0   359.0   159.0    221.0
m35aw   99.0   403.0   137.0    210.0
m36aw  103.0   403.0   165.0    149.0
m37aw   72.0   274.0   105.0    111.0
m38aw   91.0   320.0   153.0    156.0
m39aw  114.0   310.0   149.0    168.0
m40aw   82.0   363.0   144.0    112.0
m41aw   82.0   331.0   170.0    181.0
m42aw  178.0   506.0   279.0    239.0
m44aw   74.0   375.0   103.0    167.0
m45aw  120.0   413.0   223.0    287.0
m47aw  102.0   402.0   169.0    178.0
m48aw   90.0   332.0   119.0    175.0
m49aw   92.0   385.0   201.0    240.0
m50aw   83.0   360.0   138.0    173.0
w01aw   91.0   396.0   152.0    132.0
w02aw  132.0   596.0   240.0    235.0
w03aw  101.0   427.0   200.0    203.0
w04aw  126.0   505.0   336.0    284.0
w05aw  120.0   483.0   233.0    214.0
w06aw   85.0   448.0   259.0    254.0
w07aw  117.0   431.0   224.0    240.0
w08aw  110.0   430.0   240.0    202.0
w09aw  106.0   415.0   247.0    235.0
w10aw   64.0   480.0   176.0    208.0
w11aw   83.0   463.0   197.0    141.0
w12aw  128.0   525.0   224.0    272.0
w13aw  133.0   496.0   160.0    200.0
w14aw  114.0   380.0   130.0    137.0
w15aw  185.0   579.0   235.0    226.0
w16aw  149.0   491.0   304.0    331.0
w17aw  124.0   465.0   308.0    294.0
w19aw  118.0   445.0   168.0    226.0
w20aw  149.0   493.0   319.0    283.0
w21aw  141.0   606.0   243.0    243.0
w22aw  128.0   446.0   252.0    268.0
w23aw  120.0   482.0   233.0    195.0
w24aw  126.0   492.0   316.0    329.0
w25aw  147.0   561.0   352.0    325.0
w26aw  149.0   527.0   285.0    304.0
w27aw  130.0   414.0   209.0    203.0
w28aw   67.0   329.0   156.0    143.0
w29aw  131.0   458.0   184.0    208.0
w30aw   98.0   417.0   129.0    146.0
w31aw  141.0   525.0   315.0    264.0
w32aw  121.0   408.0   195.0    210.0
w33aw  137.0   465.0   171.0    199.0
w34aw  144.0   397.0   168.0    184.0
w35aw  204.0   535.0   300.0    310.0
w36aw  193.0   615.0   331.0    383.0
w37aw  120.0   533.0   223.0    236.0
w38aw  137.0   464.0   189.0    208.0
w39aw  181.0   550.0   377.0    354.0
w40aw  166.0   469.0   185.0    203.0
w41aw  141.0   473.0   233.0    254.0
w42aw  126.0   513.0   171.0    192.0
w44aw  122.0   512.0   220.0    191.0
w45aw  115.0   466.0   248.0    192.0
w46aw   87.0   483.0   128.0    160.0
w47aw  125.0   435.0   247.0    263.0
w48aw   77.0   432.0   172.0    143.0
w49aw  130.0   448.0   174.0    182.0
w50aw   89.0   450.0   138.0    166.0
b01aw   81.0   323.0   130.0    152.0
b02aw  254.0   581.0   375.0    306.0
b03aw   77.0   411.0   216.0    212.0
b04aw  184.0   488.0   266.0    294.0
b05aw   70.0   306.0    96.0    117.0
b07aw  151.0   529.0   214.0    245.0
b08aw  268.0   621.0   372.0    393.0
b09aw  137.0   450.0   210.0    244.0
b10aw  145.0   461.0   249.0    220.0
b11aw  122.0   453.0   218.0    170.0
b12aw  108.0   477.0   175.0    151.0
b13aw  117.0   439.0   209.0    207.0
b14aw  115.0   358.0   202.0    166.0
b15aw   76.0   388.0   128.0    117.0
b16aw  160.0   527.0   254.0    247.0
b17aw   72.0   387.0   195.0    165.0
b18aw  105.0   374.0   223.0    211.0
b19aw   80.0   374.0   128.0    144.0
b21aw  106.0   482.0   256.0    241.0
b22aw  133.0   517.0   208.0    188.2
b23aw  168.0   481.0   229.0    203.5
b24aw  114.0   310.0   176.0    145.9
b25aw  115.0   455.0   179.0    146.9
b26aw   87.0   449.0   160.0    133.4
b27aw  103.0   353.0   127.0    126.7
b28aw   93.0   360.0   144.0    122.9
b29aw   92.0   397.0   157.0    135.4
g01aw  126.0   475.0   176.0    184.0
g02aw  111.0   360.0   152.0    176.0
g04aw  128.0   558.0   299.0    287.0
g05aw  174.0   542.0   235.0    254.0
g06aw  150.0   450.0   247.0    250.0
g07aw  127.0   469.0   305.0    326.0
g08aw  187.0   564.0   322.0    360.0
g09aw   72.0   497.0   160.0    168.0
g10aw   99.0   384.0   170.0    170.0
g11aw  153.0   533.0   260.0    293.0
g12aw   95.0   418.0   266.0    249.0
g13aw  133.0   472.0   269.0    257.0
g14aw  100.0   432.0   210.0    290.0
g15aw   83.0   443.0   197.0    232.0
g17aw  141.0   432.0   177.0    172.8
g18aw  153.0   594.0   230.0    211.2
g19aw  100.0   318.0   136.0    122.9
g20aw  120.0   394.0   178.6    141.1
g21aw  116.0   375.0   165.1    154.6
m01eh  172.8   438.3   226.0    257.0
m02eh  144.0   311.0   164.0    176.0
m03eh  154.0   438.0   279.0    256.0
m04eh   78.0   307.0   151.0    209.0
m06eh   63.0   240.0   119.0    122.0
m07eh   88.0   285.0   128.0    192.0
m08eh   97.0   336.0   122.0    144.0
m09eh  127.0   366.0   212.0    210.0
m10eh  117.0   303.0   150.0    152.0
m11eh  131.0   392.0   237.0    270.0
m13eh   82.0   285.0   144.0    124.0
m14eh   80.0   311.0   128.0    139.0
m16eh   58.0   214.0    85.0     84.0
m17eh   84.0   265.0   190.0    189.0
m18eh  142.0   312.0   170.0    188.0
m19eh   98.0   283.0   110.0    136.0
m20eh   58.0   257.0   135.0    157.0
m21eh   65.0   203.0   118.0    112.0
m22eh  139.0   323.0   166.0    212.0
m23eh   97.0   324.0   144.0    161.0
m24eh  169.0   322.0   213.0    232.0
m25eh   77.0   267.0   124.0    121.0
m26eh  124.0   331.0   144.0    152.0
m27eh   92.0   307.0   131.0    133.0
m28eh  111.0   236.0   156.0    144.0
m29eh  116.0   293.0   175.0    192.0
m30eh   78.0   275.0   127.0    134.0
m31eh   94.0   240.0   137.0    149.0
m32eh   66.0   232.0    96.0     96.0
m33eh   73.0   278.0   128.0    138.0
m34eh   93.0   278.0   120.0    166.0
m35eh   93.0   337.0   149.0    161.0
m36eh   74.0   291.0   108.0    112.0
m37eh   61.0   200.0    86.0     83.0
m38eh   81.0   239.0   119.0     99.0
m39eh   86.0   287.0   183.0    179.0
m40eh   72.0   276.0   166.0    158.0
m41eh   81.0   269.0   158.0    155.0
m42eh  107.0   314.0   211.0    144.0
m44eh   75.0   275.0   104.0    128.0
m45eh  100.0   300.0   112.0    118.0
m47eh   88.0   297.0   168.0    186.0
m48eh   76.0   274.0   181.0    189.0
m49eh   78.0   250.0   127.0    144.0
m50eh   62.0   240.0    87.0    108.0
w01eh   96.0   313.0   121.0    132.0
w02eh  158.0   590.0   312.0    328.0
w03eh   62.0   264.0   126.0    162.0
w04eh   96.0   411.0   307.0    264.0
w05eh  102.0   362.0   277.0    223.0
w06eh   88.0   368.0   166.0    174.0
w07eh  200.0   438.0   288.0    304.0
w08eh   93.0   292.0   177.0    210.0
w09eh   61.0   294.0   103.0    101.0
w10eh   72.0   343.0   112.0    128.0
w11eh   82.0   399.0   216.0    181.0
w12eh  116.0   350.0   219.0    212.0
w13eh  109.0   340.0   237.0    265.0
w14eh   99.0   340.0   127.0    162.0
w15eh  170.0   387.0   302.0    297.0
w16eh  149.0   402.0   297.0    254.0
w17eh  128.0   316.0   219.0    197.0
w19eh  158.0   475.0   341.0    289.0
w20eh  188.0   451.0   287.0    283.0
w21eh  128.0   409.0   202.0    188.0
w22eh  153.0   392.0   184.0    192.0
w23eh  121.0   415.0   232.0    256.0
w24eh  126.0   357.0   192.0    208.0
w25eh  139.0   525.0   316.0    289.0
w26eh  198.0   381.0   272.0    288.0
w27eh  107.0   343.0   232.0    203.0
w28eh   87.0   264.0   120.0    144.0
w29eh   62.0   255.0    80.0     92.0
w30eh  108.0   329.0   124.0    167.0
w31eh  191.0   439.0   232.0    264.0
w32eh  124.0   315.0   200.0    196.0
w33eh  106.0   300.0   176.0    192.0
w34eh  173.0   352.0   231.0    243.0
w35eh  136.0   359.0   254.0    262.0
w36eh  180.0   548.0   212.0    237.0
w37eh  226.0   569.0   435.0    433.0
w38eh   96.0   364.0   278.0    257.0
w39eh  195.0   454.0   226.0    251.0
w40eh  146.0   383.0   259.0    284.0
w41eh  118.0   321.0   160.0    162.0
w42eh  103.0   353.0   234.0    255.0
w44eh  118.0   373.0   218.0    226.0
w45eh  108.0   355.0   232.0    240.0
w46eh  101.0   385.0   187.0    186.0
w47eh   74.0   318.0   192.0    190.0
w48eh  110.0   354.0   219.0    223.0
w49eh  131.0   352.0   152.0    168.0
w50eh   84.0   354.0   265.0    251.0
b01eh   89.0   273.0   167.0    170.0
b02eh  147.0   342.0   190.0    193.0
b03eh  166.0   426.0   280.0    256.0
b04eh  180.0   544.0   279.0    264.0
b05eh   68.0   275.0   126.0    123.0
b07eh  120.0   392.0   208.0    240.0
b08eh  198.0   333.0   276.0    254.0
b09eh  130.0   323.0   192.0    215.0
b10eh  144.0   378.0   255.0    234.0
b11eh   89.0   371.0   168.0    170.0
b12eh  114.0   477.0   241.0    174.0
b13eh   78.0   336.0   112.0    134.0
b14eh  113.0   281.0   152.0    168.0
b15eh   92.0   404.0   246.0    204.0
b16eh  136.0   427.0   240.0    288.0
b17eh   89.0   278.0   119.0    110.0
b18eh  111.0   306.0   166.0    180.0
b19eh   91.0   318.0   120.0    135.0
b21eh  141.0   415.0   216.0    261.0
b22eh  120.0   332.0   148.0    149.8
b23eh  162.0   400.0   204.0    189.1
b24eh   99.0   264.0   136.0    131.5
b25eh  113.0   328.0   144.0    156.5
b26eh  155.0   486.0   243.0    183.4
b27eh   93.0   285.0   136.0    129.6
b28eh  133.0   343.0   169.0    157.4
b29eh  155.0   367.0   213.0    190.1
g01eh  119.0   321.0   207.0    207.0
g02eh  126.0   344.0   194.0    184.0
g04eh  194.0   471.0   270.0    248.0
g05eh  150.0   478.0   267.0    277.0
g06eh  118.0   292.0   194.0    173.0
g07eh  122.0   406.0   258.0    286.0
g08eh  179.0   473.0   216.0    250.0
g09eh   74.0   366.0   189.0    228.0
g10eh   83.0   361.0   160.0    184.0
g11eh  106.0   333.0   170.0    180.0
g12eh   88.0   338.0   228.0    203.0
g13eh  134.0   384.0   185.0    208.0
g14eh   73.0   370.0   128.0    159.0
g15eh  153.0   419.0   249.0    245.0
g17eh   78.0   282.0   104.0    121.9
g18eh  114.0   372.0   160.0    145.9
g19eh  127.0   349.0   186.0    153.6
g20eh  121.0   349.0   183.0    153.6
g21eh   94.0   321.0   172.8    144.0
m01ei  165.3   484.1   224.0    243.0
m02ei  231.0   492.0   256.0    272.0
m03ei  110.0   463.0   167.0    189.0
m04ei   89.0   342.0   128.0    144.0
m06ei   50.0   291.0    83.0     83.0
m07ei   73.0   354.0    96.0    120.0
m08ei   68.0   396.0    88.0    104.0
m09ei  105.0   423.0   139.0    158.0
m10ei   87.0   360.0   180.0    171.0
m11ei   76.0   436.0   136.0    163.0
m13ei   94.0   337.0   217.0    172.0
m14ei  110.0   366.0   148.0    159.0
m16ei   57.0   275.0    80.0     88.0
m17ei   68.0   327.0   152.0    145.0
m18ei   86.0   424.0   193.0    165.0
m19ei  121.0   367.0   151.0    164.0
m20ei   76.0   313.0   104.0    120.0
m21ei   93.0   289.0   248.0    183.0
m22ei  128.0   379.0   174.0    211.0
m23ei   95.0   406.0   168.0    199.0
m24ei   89.0   363.0   135.0    156.0
m25ei   62.0   329.0    96.0    120.0
m26ei   76.0   338.0   104.0    120.0
m27ei   73.0   325.0   126.0    152.0
m28ei   87.0   318.0   184.0    222.0
m29ei  106.0   317.0   240.0    223.0
m30ei  127.0   465.0   289.0    290.0
m31ei   74.0   313.0   161.0    135.0
m32ei   90.0   309.0   126.0    104.0
m33ei   69.0   380.0    88.0     96.0
m34ei   99.0   360.0   126.0    162.0
m35ei   85.0   397.0   204.0    167.0
m36ei   94.0   363.0   162.0    131.0
m37ei   78.0   271.0    88.0     96.0
m38ei   70.0   325.0   108.0    107.0
m39ei  116.0   402.0   249.0    208.0
m40ei   74.0   304.0    88.0    104.0
m41ei   91.0   308.0   128.0    145.0
m42ei   99.0   418.0   120.0    146.0
m44ei   79.0   348.0   120.0    128.0
m45ei   90.0   345.0   112.0    128.0
m47ei   78.0   360.0    88.0     96.0
m48ei   65.0   312.0    78.0     90.0
m49ei   52.0   281.0   153.0    171.0
m50ei   69.0   325.0    86.0    115.0
w01ei   85.0   324.0    80.0     96.0
w02ei  141.0   594.0   247.0    268.0
w03ei   92.0   355.0    96.0    104.0
w04ei  101.0   538.0   136.0    144.0
w05ei  124.0   426.0   256.0    223.0
w06ei   99.0   417.0   163.0    240.0
w07ei  106.0   436.0   216.0    240.0
w08ei   90.0   364.0   120.0    136.0
w09ei   57.0   279.0   146.0    175.0
w10ei   72.0   419.0   132.0    152.0
w11ei   66.0   479.0   152.0    183.0
w12ei  113.0   442.0   160.0    176.0
w13ei   97.0   415.0   144.0    168.0
w14ei  130.0   360.0   173.0    179.0
w15ei  156.0   481.0   208.0    210.0
w16ei  141.0   477.0   224.0    240.0
w17ei  144.0   405.0   200.0    176.0
w19ei  128.0   462.0   235.0    162.0
w20ei   96.0   401.0   179.0    183.0
w21ei  139.0   485.0   176.0    184.0
w22ei  156.0   425.0   184.0    208.0
w23ei   91.0   433.0   112.0    128.0
w24ei   96.0   445.0   144.0    168.0
w25ei  130.0   529.0   289.0    268.0
w26ei  151.0   571.0   368.0    391.0
w27ei   89.0   373.0   112.0    120.0
w28ei   76.0   307.0   113.0    106.0
w29ei   85.0   365.0   144.0    168.0
w30ei   89.0   402.0   310.0    295.0
w31ei   88.0   426.0   198.0    216.0
w32ei  103.0   380.0   182.0    180.0
w33ei  111.0   407.0   224.0    256.0
w34ei  142.0   409.0   284.0    282.0
w35ei  154.0   468.0   219.0    224.0
w36ei  158.0   560.0   228.0    256.0
w37ei  149.0   516.0   292.0    256.0
w38ei   71.0   381.0   103.0    115.0
w39ei  160.0   504.0   272.0    296.0
w40ei  169.0   465.0   200.0    208.0
w41ei  119.0   417.0   152.0    160.0
w42ei   54.0   397.0   112.0    128.0
w44ei  134.0   434.0   189.0    207.0
w45ei  107.0   426.0   217.0    214.0
w46ei  112.0   489.0   160.0    176.0
w47ei  160.0   473.0   240.0    239.0
w48ei   93.0   402.0   184.0    162.0
w49ei   86.0   391.0   171.0    154.0
w50ei   78.0   439.0   112.0    128.0
b01ei   72.0   294.0   160.0    133.0
b02ei  201.0   525.0   224.0    270.0
b03ei  110.0   396.0   145.0    180.0
b04ei   99.0   422.0   188.0    182.0
b05ei   82.0   329.0   160.0    136.0
b07ei  114.0   475.0   288.0    288.0
b08ei  156.0   441.0   168.0    184.0
b09ei  126.0   384.0   149.0    155.0
b10ei  136.0   450.0   192.0    192.0
b11ei  162.0   471.0   168.0    176.0
